screenH,OS,workerid,Browser,screenW
900,Windows,0,Chrome,1440
768,Windows,1,Chrome,1366
1080,Windows,2,Chrome,1920
1440,Mac,3,Chrome,2560
1080,Windows,4,Firefox,1920
712,Linux,5,Chrome,1138
864,Windows,6,Chrome,1536
900,Windows,7,Chrome,1440
864,Windows,8,Chrome,1536
900,Windows,9,Chrome,1600
864,Windows,10,Chrome,1536
1080,Windows,11,Chrome,1920
1080,Windows,12,Chrome,1920
900,Windows,13,Chrome,1600
768,Windows,14,Chrome,1366
720,Windows,15,Chrome,1280
864,Linux,16,Chrome,1536
1080,Windows,17,Chrome,1920
900,Mac,18,Chrome,1440
900,Mac,19,Chrome,1440
768,Windows,20,Firefox,1366
1080,Windows,21,Chrome,1920
1024,an unknown OS,22,Safari,768
1080,Windows,23,Firefox,1920
972,Windows,24,Firefox,1728
1080,Mac,25,Chrome,1920
900,Mac,26,Chrome,1440
640,Linux,27,Chrome,360
1050,Windows,28,Chrome,1680
900,Mac,29,Chrome,1440
1080,Mac,30,Firefox,1920
900,Mac,31,Firefox,1440
768,Windows,32,Chrome,1366
768,Windows,33,Firefox,1366
1200,Windows,34,Chrome,1920
800,Mac,35,Chrome,1280
768,Windows,36,Firefox,1366
720,Windows,37,Chrome,1280
768,Linux,38,Chrome,1366
768,Windows,39,Chrome,1366
768,Mac,40,Chrome,1366
720,Windows,41,Chrome,1280
768,Windows,42,Chrome,1366
768,Windows,43,Chrome,1366
800,Mac,44,Chrome,1280
768,Windows,45,Chrome,1360
1080,Windows,46,Chrome,1920
768,Windows,47,Chrome,1366
768,Windows,48,Chrome,1366
768,Windows,49,Chrome,1366
600,Windows,50,Chrome,1024
900,Windows,51,Chrome,1600
1080,Windows,52,Firefox,1920
768,Windows,53,Chrome,1366
900,Windows,54,Chrome,1600
1024,an unknown OS,55,Safari,768
1000,Windows,56,Firefox,1600
864,Windows,57,Chrome,1536
900,Windows,58,Chrome,1600
615,Windows,59,Chrome,1092
1080,Windows,60,Chrome,1920
1050,Mac,61,Chrome,1680
576,Windows,62,Firefox,1024
1080,Windows,63,Chrome,1920
1080,Windows,64,Chrome,1920
768,Windows,65,Chrome,1366
768,Windows,66,Chrome,1366
768,Windows,67,Chrome,1364
1080,Windows,68,Chrome,1920
768,Linux,69,Chrome,1366
768,Windows,70,Chrome,1366
768,Windows,71,Chrome,1366
768,Windows,72,Chrome,1366
1080,Windows,73,Chrome,1920
800,Windows,74,Chrome,1280
1080,Windows,75,Chrome,1920
768,Windows,76,Chrome,1366
900,Windows,77,Chrome,1440
1200,Windows,78,Chrome,1920
768,Windows,79,Chrome,1366
1050,Windows,80,Chrome,1680
1080,Mac,81,Firefox,1920
720,Windows,82,Chrome,1280
768,Windows,83,Chrome,1366
900,Windows,84,Chrome,1600
768,Windows,85,Chrome,1366
864,Windows,86,Firefox,1536
768,Windows,87,Firefox,1366
1080,Windows,88,Chrome,1920
1080,Windows,89,Chrome,1920
800,Mac,90,Chrome,1280
768,Windows,91,Chrome,1366
900,Windows,92,Chrome,1600
768,Windows,93,Firefox,1366
720,Linux,94,Chrome,360
768,Windows,95,Chrome,1366
1080,Windows,96,Chrome,1920
720,Windows,97,Chrome,1280
1080,Windows,98,Chrome,1920
1080,Mac,99,Chrome,1920
1206,Windows,100,Firefox,2144
768,Windows,101,Chrome,1366
1080,Windows,102,Chrome,1920
768,Windows,103,Chrome,1366
864,Windows,104,Chrome,1536
1440,Windows,105,Chrome,2560
800,Windows,106,Chrome,1280
768,Windows,107,Chrome,1366
768,Linux,108,Chrome,1366
1080,Windows,109,Chrome,1920
900,Mac,110,Safari,1440
1080,Windows,111,Chrome,1920
720,Windows,112,Chrome,1280
1080,Windows,113,Chrome,1920
900,Windows,114,Chrome,1600
1080,Windows,115,Chrome,1920
1080,Windows,116,Chrome,1920
768,Linux,117,Chrome,1366
768,Windows,118,Chrome,1366
864,Windows,119,Chrome,1536
864,Windows,120,Chrome,1536
768,Windows,121,Chrome,1364
1080,Windows,122,Chrome,1920
1080,Windows,123,Chrome,1920
1080,Windows,124,Chrome,1920
618,Windows,125,Chrome,1098
768,Windows,126,Chrome,1366
1024,Windows,127,Chrome,1280
720,Linux,128,Chrome,360
864,Windows,129,Chrome,1536
768,Linux,130,Chrome,1366
800,Mac,131,Chrome,1280
768,Linux,132,Chrome,1366
864,Windows,133,Chrome,1536
768,Windows,134,Chrome,1366
768,Windows,135,Chrome,1366
768,Windows,136,Chrome,1366
768,Linux,137,Chrome,1366
768,Linux,138,Chrome,1366
768,Windows,139,Chrome,1366
1080,Windows,140,Chrome,1920
1080,Windows,141,Firefox,1920
768,Windows,142,Chrome,1366
768,Windows,143,Firefox,1366
800,Mac,144,Chrome,1280
900,Windows,145,Chrome,1440
1024,Windows,146,Firefox,1280
768,Linux,147,Chrome,1366
1080,Windows,148,Chrome,1920
892,Linux,149,Chrome,412
768,Windows,150,Firefox,1366
615,Windows,151,Chrome,1093
1080,Windows,152,Chrome,1920
2160,Windows,153,Chrome,3840
900,Mac,154,Safari,1440
962,Linux,155,Chrome,601
768,Windows,156,Chrome,1366
768,Windows,157,Firefox,1366
768,Windows,158,Chrome,1280
1080,Windows,159,Chrome,1920
912,Windows,160,Chrome,1368
1080,Windows,161,Chrome,1920
768,Windows,162,Chrome,1366
1024,Windows,163,Chrome,1821
1080,Windows,164,Firefox,1920
800,Linux,165,Chrome,1280
768,Windows,166,Chrome,1366
800,Linux,167,Chrome,1200
768,Windows,168,Chrome,1360
1080,Windows,169,Chrome,1920
615,Windows,170,Chrome,1093
1024,Windows,171,Chrome,1280
1080,Windows,172,Chrome,1920
1080,Windows,173,Chrome,1920
640,Linux,174,Chrome,360
768,Windows,175,Chrome,1366
1080,Windows,176,Chrome,1920
900,Mac,177,Chrome,1440
800,Windows,178,Chrome,1280
1080,Windows,179,Chrome,1920
1080,Windows,180,Chrome,1920
768,Windows,181,Chrome,1366
1080,Windows,182,Chrome,1920
768,Windows,183,Chrome,1366
864,Windows,184,Chrome,1536
768,Windows,185,Chrome,1366
768,Windows,186,Chrome,1366
768,Windows,187,Chrome,1366
900,Mac,188,Chrome,1440
800,Windows,189,Chrome,1280
864,Windows,190,Chrome,1536
1013,Mac,191,Firefox,1621
864,Windows,192,Chrome,1536
740,Linux,193,Chrome,360
800,Mac,194,Chrome,1280
900,Windows,195,Chrome,1600
800,Mac,196,Safari,1280
1080,Windows,197,Chrome,1920
1080,Windows,198,Chrome,1920
834,Windows,199,Chrome,1334
900,Windows,200,Chrome,1600
768,Windows,201,Chrome,1366
768,Windows,202,Chrome,1366
1320,Windows,203,Firefox,2347
1080,Windows,204,Chrome,1920
1080,Mac,205,Chrome,1920
1080,Windows,206,Chrome,1920
768,Windows,207,Chrome,1366
640,Windows,208,Chrome,1024
900,Windows,209,Chrome,1600
768,Windows,210,Chrome,1366
1080,Windows,211,Chrome,1920
768,Windows,212,Chrome,1366
905,Windows,213,Firefox,1131
768,Windows,214,Chrome,1366
900,Windows,215,Chrome,1440
864,Windows,216,Chrome,1152
1080,Windows,217,Chrome,1920
1080,Windows,218,Firefox,1920
1080,Windows,219,Chrome,1920
900,Windows,220,Chrome,1600
1080,Windows,221,Chrome,1920
864,Windows,222,Chrome,1536
768,Windows,223,Chrome,1366
900,Windows,224,Firefox,1600
900,Windows,225,Firefox,1600
960,Windows,226,Firefox,1708
1080,Windows,227,Chrome,1920
810,Windows,228,Firefox,1440
864,Windows,229,Firefox,1536
1440,Mac,230,Chrome,2560
900,Windows,231,Chrome,1600
768,Windows,232,Firefox,1366
768,Windows,233,Chrome,1366
900,Mac,234,Chrome,1440
1080,Windows,235,Chrome,1920
1080,Windows,236,Chrome,1920
740,Linux,237,Chrome,360
768,Windows,238,Chrome,1366
768,Windows,239,Chrome,1366
1440,Mac,240,Chrome,2560
864,Windows,241,Chrome,1536
1024,Windows,242,Chrome,1280
1024,an unknown OS,243,Safari,768
943,Windows,244,Chrome,1676
1080,Windows,245,Chrome,1920
768,Windows,246,Chrome,1366
640,Linux,247,Chrome,360
1080,Windows,248,Chrome,5760
768,Windows,249,Chrome,1366
640,Windows,250,Chrome,1024
821,Windows,251,Chrome,1460
1080,Windows,252,Chrome,1920
768,Windows,253,Chrome,1366
768,Windows,254,Chrome,1366
768,Windows,255,Chrome,1366
1080,Windows,256,Firefox,1920
900,Windows,257,Firefox,1440
823,Linux,258,Chrome,412
864,Windows,259,Chrome,1536
864,Windows,260,Chrome,1536
768,Linux,261,Chrome,1366
1080,Windows,262,Chrome,1920
1080,Windows,263,Chrome,1920
768,Windows,264,Chrome,1366
864,Windows,265,Chrome,1536
900,Windows,266,Chrome,1600
800,Mac,267,Chrome,1280
768,Windows,268,Chrome,1366
768,Windows,269,Firefox,1366
900,Mac,270,Chrome,1440
768,Windows,271,Chrome,1366
1080,Windows,272,Chrome,2560
1080,Windows,273,Firefox,1920
1024,Windows,274,Firefox,1280
1024,Windows,275,Chrome,1280
768,Windows,276,Chrome,1024
1080,Windows,277,Chrome,1920
864,Windows,278,Chrome,1536
1080,Windows,279,Chrome,1920
900,Windows,280,Chrome,1600
1050,Windows,281,Firefox,1680
615,Windows,282,Chrome,1093
768,Windows,283,Chrome,1024
768,Windows,284,Chrome,1366
1080,Mac,285,Chrome,1920
1280,Linux,286,Chrome,800
900,Windows,287,Chrome,1600
800,Mac,288,Chrome,1280
768,Windows,289,Chrome,1366
768,Windows,290,Chrome,1366
900,Windows,291,Chrome,1600
1080,Windows,292,Chrome,1920
768,Windows,293,Chrome,1366
640,Linux,294,Chrome,360
768,Linux,295,Chrome,1366
800,Mac,296,Firefox,1280
1080,Windows,297,Chrome,1920
864,Windows,298,Chrome,1536
1080,Windows,299,Chrome,1920
1080,Windows,300,Chrome,1920
1080,Windows,301,Chrome,1920
900,Mac,302,Chrome,1440
1080,Windows,303,Chrome,1920
864,Windows,304,Chrome,1536
640,Linux,305,Chrome,360
768,Windows,306,Chrome,1366
1024,Windows,307,Chrome,1280
768,Windows,308,Firefox,1366
1080,Windows,309,Chrome,1920
800,Windows,310,Chrome,1280
1440,Windows,311,Chrome,2560
768,Windows,312,Chrome,1366
1080,Windows,313,Chrome,1920
1080,Windows,314,Chrome,1920
1206,Windows,315,Firefox,2144
1080,Windows,316,Chrome,1920
768,Windows,317,Chrome,1366
768,Windows,318,Chrome,1366
1080,Windows,319,Chrome,1920
720,Linux,320,Chrome,360
725,Linux,321,Firefox,408
1080,Windows,322,Firefox,1920
1080,Windows,323,Chrome,2560
864,Windows,324,Chrome,1536
1080,Windows,325,Firefox,1920
1050,Mac,326,Chrome,1680
1080,Windows,327,Chrome,1920
768,Windows,328,Chrome,1366
768,Linux,329,Chrome,1366
736,iPhone/iPod,330,Safari,414
1050,Mac,331,Chrome,1680
900,Mac,332,Chrome,1440
768,Windows,333,Chrome,1366
768,Windows,334,Chrome,1366
1440,Windows,335,Firefox,2560
1024,Windows,336,Chrome,1280
1152,Windows,337,Chrome,2048
720,Windows,338,Chrome,1280
768,Windows,339,Chrome,1366
768,Windows,340,Chrome,1360
768,Windows,341,Chrome,1366
800,Mac,342,Safari,1280
1152,Windows,343,Chrome,2048
1080,Windows,344,Chrome,1920
864,Windows,345,Chrome,1536
900,Windows,346,Chrome,1600
768,Windows,347,Chrome,1366
1080,Linux,348,Chrome,1920
768,Windows,349,Chrome,1366
894,Windows,350,Chrome,1118
1440,Windows,351,Chrome,2560
768,Windows,352,Chrome,1366
1080,Windows,353,Chrome,1920
768,Windows,354,Chrome,1366
900,Linux,355,Chrome,1600
1080,Windows,356,Chrome,1920
1080,Windows,357,Chrome,1920
1080,Windows,358,Chrome,1920
1080,Windows,359,Chrome,1920
768,Windows,360,Chrome,1366
892,Linux,361,Chrome,412
768,Windows,362,Chrome,1024
768,Windows,363,Chrome,1366
1200,Windows,364,Chrome,1920
1080,Windows,365,Firefox,1920
1080,Windows,366,Chrome,1920
869,Linux,367,Chrome,412
864,Windows,368,Chrome,1536
768,Windows,369,Chrome,1366
960,Windows,370,Chrome,1707
1080,Windows,371,Chrome,1920
699,Linux,372,Chrome,393
982,Windows,373,Chrome,1745
960,Windows,374,Chrome,1708
1080,Windows,375,Chrome,1920
900,Mac,376,Chrome,1440
1080,Windows,377,Chrome,1920
864,Windows,378,Chrome,1536
1080,Windows,379,Chrome,1920
1050,Windows,380,Chrome,1680
736,iPhone/iPod,381,Safari,414
768,Windows,382,Firefox,1366
900,Mac,383,Chrome,1440
768,Windows,384,Chrome,1366
768,Windows,385,Chrome,1366
1080,Windows,386,Chrome,1920
823,Linux,387,Chrome,412
768,Windows,388,Chrome,1366
1050,Windows,389,Firefox,1680
900,Mac,390,Chrome,1440
768,Windows,391,Chrome,1366
768,Windows,392,Chrome,1366
768,Linux,393,Chrome,1366
900,Mac,394,Chrome,1440
768,Windows,395,Chrome,1366
900,Windows,396,Chrome,1600
1080,Linux,397,Chrome,1920
768,Windows,398,Chrome,1366
768,Windows,399,Chrome,1366
768,Windows,400,Firefox,1366
800,Mac,401,Chrome,1280
1024,Windows,402,Chrome,1280
1080,Windows,403,Chrome,1920
900,Windows,404,Chrome,1600
720,Windows,405,Chrome,1280
1080,Linux,406,Chrome,1920
1024,an unknown OS,407,Safari,768
900,Windows,408,Firefox,1440
900,Windows,409,Chrome,1440
700,Windows,410,Firefox,1120
768,Windows,411,Chrome,1366
1080,Windows,412,Chrome,1920
800,Windows,413,Chrome,1200
1080,Windows,414,Chrome,1920
900,Windows,415,Firefox,1440
900,Mac,416,Chrome,1440
720,Windows,417,Chrome,1280
768,Windows,418,Chrome,1366
1016,Linux,419,Chrome,1807
900,Windows,420,Chrome,1600
1050,Windows,421,Chrome,1680
1050,Windows,422,Chrome,1680
864,Windows,423,Chrome,1536
720,Windows,424,Firefox,1280
1080,Windows,425,Chrome,1920
1080,Windows,426,Chrome,1920
864,Windows,427,Chrome,1536
1080,Windows,428,Chrome,1920
900,Windows,429,Chrome,1600
900,Mac,430,Chrome,1440
864,Windows,431,Chrome,1536
1080,Windows,432,Chrome,1920
900,Mac,433,Chrome,1440
1080,Windows,434,Chrome,1920
1080,Windows,435,Chrome,1920
720,Windows,436,Firefox,1280
768,Windows,437,Chrome,1366
900,Windows,438,Firefox,1600
1080,Windows,439,Chrome,1920
900,Windows,440,Chrome,1600
800,Windows,441,Chrome,1280
1296,Windows,442,Firefox,2304
768,Windows,443,Chrome,1366
896,iPhone/iPod,444,Safari,414
900,Mac,445,Chrome,1440
640,Linux,446,Chrome,360
768,Linux,447,Chrome,1366
900,Windows,448,Chrome,1600
800,Mac,449,Chrome,1280
800,Mac,450,Chrome,1280
768,Windows,451,Chrome,1366
1080,Windows,452,Chrome,1920
768,Windows,453,Chrome,1366
768,Windows,454,Chrome,1366
1080,Windows,455,Chrome,1920
900,Windows,456,Chrome,1600
900,Mac,457,Chrome,1440
900,Windows,458,Chrome,1600
912,Windows,459,Chrome,1368
1080,Windows,460,Chrome,1920
800,Mac,461,Chrome,1280
1080,Windows,462,Chrome,1920
864,Windows,463,Chrome,1536
1080,Windows,464,Chrome,1920
960,Windows,465,Chrome,1280
640,Linux,466,Chrome,360
1080,Windows,467,Chrome,1920
1024,Windows,468,Chrome,1280
864,Linux,469,Chrome,1536
768,Windows,470,Chrome,1366
1080,Windows,471,Chrome,1920
667,iPhone/iPod,472,Safari,375
962,Linux,473,Chrome,601
864,Windows,474,Chrome,1536
768,Windows,475,Chrome,1366
768,Windows,476,Chrome,1366
1080,Windows,477,Chrome,1920
1080,Windows,478,Chrome,1920
600,Linux,479,Chrome,1024
768,Linux,480,Chrome,1366
1024,Windows,481,Chrome,1280
768,Windows,482,Chrome,1366
1080,Windows,483,Chrome,1920
1080,Windows,484,Chrome,1920
900,Mac,485,Chrome,1440
1080,Windows,486,Chrome,1920
900,Windows,487,Chrome,1440
864,Windows,488,Chrome,1536
864,Windows,489,Chrome,1536
1080,Windows,490,Chrome,1920
1080,Windows,491,Chrome,1920
846,Linux,492,Chrome,412
1080,Windows,493,Chrome,1920
864,Windows,494,Chrome,1536
768,Linux,495,Chrome,1366
768,Windows,496,Chrome,1366
768,Windows,497,Chrome,1366
720,Windows,498,Chrome,1280
900,Windows,499,Chrome,1600
768,Windows,500,Chrome,1366
1080,Linux,501,Firefox,1920
926,Windows,502,Chrome,1646
1080,Windows,503,Chrome,1920
768,Windows,504,Chrome,1366
768,Windows,505,Chrome,1366
667,iPhone/iPod,506,Safari,375
900,Windows,507,Chrome,1440
1440,Windows,508,Chrome,2560
1080,Windows,509,Chrome,1920
1080,Windows,510,Firefox,1920
1080,Windows,511,Chrome,1920
1024,Linux,512,Firefox,1280
864,Windows,513,Chrome,1536
768,Windows,514,Chrome,1366
1080,Windows,515,Chrome,1920
1080,Windows,516,Chrome,1920
1080,Windows,517,Chrome,1920
768,Windows,518,Chrome,1366
900,Mac,519,Chrome,1440
768,Windows,520,Chrome,1366
768,Windows,521,Chrome,1366
768,Windows,522,Chrome,1360
864,Windows,523,Chrome,1152
768,Windows,524,Chrome,1366
800,Windows,525,Chrome,1067
812,iPhone/iPod,526,Safari,375
640,Linux,527,Chrome,360
768,Windows,528,Chrome,1366
720,Windows,529,Chrome,1280
864,Windows,530,Chrome,1536
1050,Windows,531,Chrome,1680
1080,Windows,532,Chrome,1920
864,Windows,533,Chrome,1536
768,Windows,534,Chrome,1366
900,Windows,535,Chrome,1600
1080,Windows,536,Chrome,1920
768,Windows,537,Chrome,1024
768,Windows,538,Chrome,1024
768,Windows,539,Chrome,1366
768,Windows,540,Chrome,1366
768,Linux,541,Chrome,1366
1080,Windows,542,Chrome,1920
768,Windows,543,Chrome,1366
1050,Windows,544,Chrome,1680
768,Windows,545,Firefox,1360
800,Windows,546,Chrome,1280
736,iPhone/iPod,547,Safari,414
768,Windows,548,Chrome,1366
864,Windows,549,Chrome,1536
900,Mac,550,Chrome,1440
768,Linux,551,Chrome,1366
768,Windows,552,Chrome,1366
1024,Windows,553,Chrome,1280
869,Linux,554,Chrome,412
768,Windows,555,Chrome,1366
768,Windows,556,Chrome,1366
720,Windows,557,Chrome,1280
800,Windows,558,Chrome,1280
1080,Windows,559,Chrome,1920
864,Windows,560,Chrome,1536
768,Linux,561,Chrome,1366
1080,Windows,562,Chrome,1920
615,Windows,563,Chrome,1093
768,Windows,564,Chrome,1024
768,Windows,565,Chrome,1366
900,Windows,566,Chrome,1600
768,Windows,567,Chrome,1366
800,Mac,568,Chrome,1280
1080,Windows,569,Firefox,1920
846,Linux,570,Chrome,412
900,Windows,571,Chrome,1600
962,Linux,572,Chrome,601
1080,Windows,573,Firefox,1920
864,Windows,574,Chrome,1536
768,Windows,575,Chrome,1366
864,Windows,576,Firefox,1536
1080,Windows,577,Chrome,1920
864,Windows,578,Chrome,1536
1080,Windows,579,Chrome,1920
960,Linux,580,Chrome,455
768,Windows,581,Chrome,1366
664,Windows,582,Chrome,1176
569,Windows,583,Chrome,1012
1024,Windows,584,Chrome,1280
1200,Windows,585,Chrome,1920
850,Linux,586,Chrome,1280
768,Windows,587,Chrome,1366
750,Linux,588,Chrome,1200
768,Windows,589,Chrome,1366
1080,Windows,590,Chrome,1920
768,Linux,591,Chrome,1366
768,Windows,592,Firefox,1366
1080,Windows,593,Chrome,1920
640,Linux,594,Chrome,360
858,Windows,595,Firefox,1525
900,Mac,596,Chrome,1440
1080,Mac,597,Chrome,1920
900,Windows,598,Firefox,1600
615,Windows,599,Chrome,1093
