gender,comments,age,language,workerid,american
female,,31,English,0,Yes
male,no,46,English,1,Yes
male,GOOD SURVEY,31,ENGLISH,2,Yes
male,its very interesting,51,ENGLISH,3,Yes
female,,30,English,4,Yes
male,,21,English,5,Yes
female,It really made me look deeper at how I come to conclusions based on peoples statements,34,English,6,Yes
male,,37,English,7,Yes
male,thank you,53,english,8,Yes
female,,33,english,9,Yes
male,,41,eng,10,Yes
male,n/a,33,English,11,Yes
female,none ,30,English,12,Yes
male,None.,32,English,13,Yes
female,The study went well. Thank you for making me a part of this study.,25,English,14,Yes
male,Some of those were both probable and improbable. They really made me think.,44,English,15,Yes
female,,60,English,16,Yes
female,no,40,United States,17,Yes
male,no comments,38,english,18,Yes
male,,30,English,19,Yes
male,i did my best these are very ambiguous ,39,english,20,Yes
male,,43,English,21,Yes
male,thank you so much,27,english,22,Yes
female,None thank you,35,English,23,Yes
female,easy task,43,English,24,Yes
male,"None really, thanks",50,English,25,Yes
male,,33,English,26,Yes
female,,38,English,27,Yes
male,its very interesting,41,English,28,Yes
female,,33,English,29,Yes
male,Thanks for paying fair!,30,English,30,Yes
female,,60,English,31,Yes
male,Very Interesting ,30,English,32,Yes
female,Kinda hard with every sentence ends with a question mark.,33,English,33,Yes
female,no comment,45,English,34,Yes
male,I always love your HITS!,45,English,35,Yes
female,,49,english,36,Yes
male,no,48,English,37,Yes
female,no,30,english,38,Yes
male,,43,English,39,Yes
male,,54,English,40,Yes
male,Good,29,English,41,Yes
female,,32,English,42,Yes
female,,37,english,43,Yes
male,,33,english,44,Yes
male,,25,English,45,Yes
female,,33,English,46,Yes
male,,34,English,47,Yes
female,,54,English,48,Yes
male,no problems,45,English,49,Yes
female,Good Survey,41,English,50,Yes
male,,27,ENGLISH,51,Yes
male,,38,English,52,Yes
female,Thanks!,26,English,53,Yes
female,no,27,English,54,Yes
male,,33,English,55,Yes
male,,40,English,56,Yes
male,,54,English,57,Yes
female,,51,ENGLISH,58,Yes
male,,42,english,59,Yes
female,This was an interesting study. Thank you for the great experience,47,english,60,Yes
female,I thought that it was interesting,43,English,61,Yes
male,None,33,English,62,Yes
male,,26,English,63,Yes
male,"Enjoyable, thanks!",60,English,64,Yes
male,,31,English,65,Yes
male,,56,English,66,Yes
female,"I feel like I was a bit confused in this experiment. I felt like depending on how you read a couple of the sentences you can answer either yes or no in the second part, and I just went with the first interpretation I made. I also felt that the first part was a bit confusing when the fact did not mention a person. I think one of them had to do with a hats. The fact was hats are worn on the top of the head, and the question was how likely is it that someone has a new hat. I was confused on how to answer that question. I think I just chose the middle option becuase I thought it was neither likely nor unlikely, but now I'm leaning towards unlikely. I don't know.",23,English,67,Yes
female,,45,English,68,Yes
male,,38,English,69,Yes
male,,25,English,70,Yes
male,,41,ENGLISH,71,Yes
male,no,28,english,72,Yes
male,,39,English ,73,Yes
male,I did not notice any questions that had an obvious answer as mentioned in the instructions. I read everything carefully.,41,english,74,Yes
male,What does jack playing with kids have to do with ice cream?,28,English,75,Yes
female,none,65,English,76,Yes
male,,34,English,77,Yes
male,,29,English,78,Yes
female,Nice Survey...,29,English,79,Yes
male,n/a,28,English,80,Yes
male,,46,english,81,Yes
male,,42,english,82,Yes
female,I didn't see any attention checks and that is worrisome to me.,55,English,83,Yes
male,,40,English,84,Yes
female,,57,English,85,Yes
male,i read everything very good but I tend to overthink things,24,english,86,Yes
male,,25,english,87,Yes
female,The instructions were clear. Thank you,31,English,88,Yes
female,enjoyable hit,36,english,89,Yes
female,,31,English,90,Yes
male,Thanks,32,english,91,Yes
female,,47,English,92,Yes
female,,34,English,93,Yes
male,no,65,Enflish,94,Yes
male,,36,English,95,Yes
female,Its an interesting study,38,English,96,Yes
male,Interesting,32,English,97,Yes
male,,34,english,98,Yes
female,n/a,40,English,99,Yes
male,,62,English,100,Yes
female,Great questions.  really made me think.,55,English,101,Yes
female,,58,English,102,Yes
female,,36,English,103,Yes
male,nice,28,english,104,Yes
male,,34,english,105,Yes
female,Thanks for allowing my participation. ,31,English,106,Yes
female,None,32,english,107,Yes
male,,41,English,108,Yes
female,nice,25,english,109,Yes
female,"I did my best to give answers based on the requirements, it was a little confusing at first.",25,English,110,Yes
female,,37,English,111,Yes
male,,37,English,112,Yes
female,,41,English,113,Yes
female,,23,English,114,Yes
female,,46,english,115,Yes
male,good,44,English,116,Yes
male,,42,english,117,Yes
female,,25,English,118,Yes
male,,36,English,119,Yes
male,,25,English,120,Yes
male,GOOD SURVEY,31,ENGLISH,121,Yes
female,,57,English,122,Yes
female,,55,english,123,Yes
male,,34,English,124,Yes
male,,30,English,125,Yes
female,,26,English,126,Yes
male,,32,English,127,Yes
male,"People can be certain of things that are not true, and doubt things that are true. Thought provoking test.",82,English ,128,Yes
male,,41,English,129,Yes
female,,51,english,130,Yes
other,,34,English,131,Yes
male,Fun,26,English,132,Yes
female,"I got one wrong, not sure what happened in my mind but on the ""walks to work"" question I moved the slider toward unlikely instead of likely and didn't realize until I was hitting the arrow to continue. Sorry!",41,English,133,Yes
male,I think the questions can be interpreted in different ways: asked because one does not know the answer or asked as a verification that it's believed it's true or false,74,English,134,Yes
male,no comments,47,English,135,Yes
female,,39,english,136,Yes
female,Some of those were tricky. ,35,English,137,Yes
female,,56,English,138,Yes
female,none,25,english,139,Yes
male,,42,English,140,Yes
female,,57,English,141,Yes
male,nice survey,31,english,142,Yes
female,,38,English,143,Yes
female,Thank you. I hope that my answers will be useful to you.,23,English,144,Yes
male,,54,English,145,Yes
female,,48,english,146,Yes
male,,52,English,147,Yes
male,good,32,english,148,Yes
male,no,67,English,149,Yes
male,good survey.,18,English,150,Yes
male,"I really enjoy the experiment, it made me think very well.",40,English,151,
male,nothing more,31,english,152,Yes
male,,25,english,153,Yes
male,Great and succinct,43,English,154,Yes
male,,36,English,155,Yes
female,This was interesting. It was the second part at times that confused me a little,36,English,156,Yes
male,,30,English,157,Yes
male,,44,English,158,Yes
male,,37,English,159,Yes
male,no comments,65,English,160,Yes
female,interesting the survey,23,English,161,Yes
male,,29,English,162,Yes
male,,44,English,163,Yes
male,,39,English,164,Yes
male,No comments,30,English,165,Yes
male,,36,english,166,Yes
male,Thank you,39,English,167,Yes
male,nice,27,englsih,168,Yes
female,,60,English,169,Yes
male,,28,english,170,Yes
female,,47,English,171,Yes
female,,26,English,172,Yes
male,,61,English,173,Yes
female,,32,English,174,Yes
male,Thank you!,49,English,175,Yes
,none,38,English,176,Yes
male,,32,English,177,Yes
female,,42,English,178,Yes
male,Thank you,36,English,179,Yes
female,,38,English,180,Yes
female,,56,English,181,Yes
male,,27,English,182,Yes
male,None.,37,English,183,Yes
male,None,35,English,184,Yes
male,,28,engish,185,Yes
male,,31,English,186,Yes
female,,60,english,187,Yes
female,,42,English,188,Yes
female,"No comments, thank you.",34,English,189,Yes
female,,27,English ,190,No
female,,44,english,191,Yes
male,,35,english,192,Yes
male,nice and good,25,English,193,Yes
female,,32,english,194,Yes
female,,35,english,195,Yes
female,,38,english,196,Yes
male,,36,English,197,Yes
male,,60,english,198,Yes
male,,56,English,199,Yes
female,,27,English,200,Yes
male,,25,English,201,Yes
male,thanks,56,english,202,Yes
female,,37,english,203,Yes
female,none,56,English,204,Yes
male,"No comments, thank you!",37,English,205,Yes
male,,35,English,206,Yes
female,it was interesting thanks so much,31,english,207,Yes
male,Interesting survey. Enjoyed. ,30,English,208,Yes
female,no,59,English,209,Yes
male,,42,English,210,Yes
female,"None, stay safe!  And good luck with your research",55,English,211,Yes
female,,58,English,212,Yes
female,no comments,36,English,213,Yes
male,,29,English,214,Yes
male,good,32,English,215,Yes
female,This survey is very interesting,34,English,216,Yes
male,God bless and keep safe friendÂ¡ ,29,English,217,Yes
female,,52,english,218,Yes
male,n,36,English,219,Yes
male,,24,eng,220,Yes
male,Nice task to do,34,English,221,Yes
male,,39,English ,222,Yes
male,none,35,English,223,Yes
male,,37,English,224,Yes
female,very good experience,30,English,225,Yes
male,,32,English,226,Yes
male,,47,English,227,Yes
male,,37,English,228,Yes
female,All good.,23,English,229,Yes
male,,30,English,230,Yes
female,none,37,english,231,Yes
male,,41,English,232,Yes
female,,44,English,233,Yes
female,,38,English,234,Yes
female,"no comments, thanks",56,English,235,Yes
male,,40,english,236,Yes
male,,28,English,237,Yes
female,The second part questions seem subjective.,45,English,238,Yes
male,,42,English,239,Yes
male,,36,english,240,Yes
female,,43,English,241,Yes
male,Good,30,English,242,Yes
male,,25,English,243,Yes
female,,41,English,244,Yes
male,,35,english,245,Yes
female,"Thanks for the survey, good luck with the research.",42,English,246,Yes
male,Everything was clear with no errors at all!,27,English,247,Yes
male,,27,English,248,Yes
male,nice,28,english,249,Yes
male,,28,English,250,Yes
male,,34,english,251,Yes
male,,35,english,252,Yes
female,,38,English,253,Yes
male,"I think I might have answered incorrectly on one of the verification questions, about Zoe calculating the tip. It's early here. I apologize.",23,English,254,Yes
male,,34,English,255,Yes
female,"Some of these were hard because I wanted to infer things from the facts but that is not allowed. A person from Argentina probably had steak on Saturday, but she could also be a vegetarian like me, so I had to choose neither impossible or definitely. A person who lives in Mexico is likely to speak Spanish, but could also have just recently moved there and not know the language, so it's closer to definitely but definitely not impossible or 100% definite. That is how I came up with my answers based on the fact provided. Also, I have an obese cousin who does half marathons, but in general an obese person doesn't run, so I chose that to be unlikely but not impossible. Sticking to the fact without adding my own thoughts was the hardest part about this experiment. ",34,English,256,Yes
male,N/A,55,english,257,Yes
male,,34,english,258,Yes
male,,57,english,259,Yes
female,,22,English,260,Yes
male,Thank you!,31,English,261,Yes
female,None,44,English,262,Yes
male,Thanks,35,English,263,Yes
male,,30,English,264,Yes
female,,46,English,265,Yes
male,,33,English,266,Yes
female,Thanks!,55,english,267,Yes
male,,31,English,268,Yes
male,nice,28,english,269,Yes
male,good and nice,31,english,270,Yes
female,No comments,32,English,271,Yes
male,None,35,English,272,Yes
female,,64,English,273,Yes
female,,57,English,274,Yes
male,"The second part of this was harder to parse than I expected. Thank you, I always enjoy these. Stay safe and healthy.",48,English,275,Yes
female,"It was a fun experiment, a nice break from general survey monotony, thank you!",32,English,276,Yes
female,,27,English,277,Yes
female,This survey is awesome.,36,English,278,Yes
male,,27,English,279,Yes
male,None at all. Thank you. ,30,English,280,Yes
male,No comments or feedback,29,English,281,Yes
male,,31,English,282,Yes
female,Thank you.,57,English,283,Yes
female,,45,English,284,Yes
male,,24,English,285,Yes
male,I really enjoyed this experiment. Thanks,36,English,286,Yes
male,,40,English,287,Yes
male,Nope!,29,English,288,Yes
male,,29,English,289,Yes
female,,35,English,290,Yes
male,,30,English,291,Yes
male,NA,35,English,292,Yes
female,Thank you,26,English,293,Yes
female,,24,English,294,Yes
male,Nice survey. Thanks.,28,English,295,Yes
male,Interesting task to do. Thank you.,25,English,296,Yes
male,,22,English ,297,Yes
male,nice,28,English,298,Yes
male,great experiment,28,"ENGLISH,SPINISH",299,Yes
