question_type,slide_number_in_experiment,rt,trigger,workerid,content,trigger_class,short_trigger,prior_fact,block,response,Answer.time_in_minutes,prior,gender,comments,language,american,age,trial
projective,5,5274,MC,0,pizza,MC,MC,Pizza is sold at the pizzeria,block1,0.1,2.8126,NA,male,NA,English,Yes,29,1
projective,6,2395,confirm,0,frank,C,confirm,Frank is allergic to cats,block1,0.76,2.8126,low_prior,male,NA,English,Yes,29,2
projective,7,4266,see,0,josh,C,see,Josh is a 5-year old boy,block1,0.89,2.8126,high_prior,male,NA,English,Yes,29,3
projective,8,3232,announce,0,emma,C,announce,Emma is in law school,block1,0.39,2.8126,high_prior,male,NA,English,Yes,29,4
projective,9,2058,MC,0,hat,MC,MC,Hats are worn on the head,block1,0.05,2.8126,NA,male,NA,English,Yes,29,5
projective,10,2208,reveal,0,zoe,C,reveal,Zoe is 5 years old,block1,0.89,2.8126,low_prior,male,NA,English,Yes,29,6
projective,11,4923,be_annoyed,0,isabella,C,be_annoyed,Isabella is a vegetarian,block1,0.93,2.8126,low_prior,male,NA,English,Yes,29,7
projective,12,2854,be_right,0,emily,C,be_right,Emily never has any money,block1,0.5,2.8126,low_prior,male,NA,English,Yes,29,8
projective,13,2360,MC,0,ballet,MC,MC,Ballet is a type of dance,block1,0.07,2.8126,NA,male,NA,English,Yes,29,9
projective,14,3048,MC,0,muffins,MC,MC,Muffins are sold at the bakery,block1,0.06,2.8126,NA,male,NA,English,Yes,29,10
projective,15,1983,prove,0,mia,C,prove,Mia is a nun,block1,0.76,2.8126,low_prior,male,NA,English,Yes,29,11
projective,16,2432,confess,0,danny,C,confess,Danny loves cake,block1,0.87,2.8126,high_prior,male,NA,English,Yes,29,12
projective,17,2082,demonstrate,0,tony,C,demonstrate,Tony has been sober for 20 years,block1,0.94,2.8126,low_prior,male,NA,English,Yes,29,13
projective,18,1925,inform,0,josie,C,inform,Josie loves France,block1,0.93,2.8126,high_prior,male,NA,English,Yes,29,14
projective,19,2890,MC,0,kids,MC,MC,Many children like ice cream,block1,0.06,2.8126,NA,male,NA,English,Yes,29,15
projective,20,4931,think,0,charley,C,think,Charley lives in Mexico,block1,0.18,2.8126,high_prior,male,NA,English,Yes,29,16
projective,21,2972,hear,0,grace,C,hear,Grace hates her sister,block1,0.81,2.8126,low_prior,male,NA,English,Yes,29,17
projective,22,3064,suggest,0,jayden,C,suggest,Jayden's car is in the shop,block1,0.28,2.8126,high_prior,male,NA,English,Yes,29,18
projective,23,3362,know,0,jon,C,know,Jon lives 10 miles away from work,block1,0.8,2.8126,low_prior,male,NA,English,Yes,29,19
projective,24,2384,establish,0,olivia,C,establish,Olivia has two small children,block1,0.7,2.8126,low_prior,male,NA,English,Yes,29,20
projective,25,1913,say,0,mary,C,say,Mary is a middle school student,block1,0.04,2.8126,low_prior,male,NA,English,Yes,29,21
projective,26,2245,MC,0,garage,MC,MC,Garages are used to store cars and other things,block1,0.02,2.8126,NA,male,NA,English,Yes,29,22
projective,27,4078,pretend,0,sophia,C,pretend,Sophia is a hipster,block1,0.74,2.8126,high_prior,male,NA,English,Yes,29,23
projective,28,2811,acknowledge,0,owen,C,acknowledge,Owen lives in Chicago,block1,0.87,2.8126,high_prior,male,NA,English,Yes,29,24
projective,29,2669,discover,0,jackson,C,discover,Jackson is training for a marathon,block1,0.9,2.8126,high_prior,male,NA,English,Yes,29,25
projective,30,2157,admit,0,julian,C,admit,Julian is Cuban,block1,0.87,2.8126,high_prior,male,NA,English,Yes,29,26
prior,32,3874,confess,0,danny,C,confess,Danny loves cake,block2,0.75,2.8126,high_prior,male,NA,English,Yes,29,27
prior,33,2188,see,0,josh,C,see,Josh is a 5-year old boy,block2,0.8,2.8126,high_prior,male,NA,English,Yes,29,28
prior,34,4429,MC,0,hat,MC,MC,Hats are worn on the head,block2,0.56,2.8126,NA,male,NA,English,Yes,29,29
prior,35,2381,admit,0,julian,C,admit,Julian is Cuban,block2,0.74,2.8126,high_prior,male,NA,English,Yes,29,30
prior,36,2468,say,0,mary,C,say,Mary is a middle school student,block2,0.14,2.8126,low_prior,male,NA,English,Yes,29,31
prior,37,2861,inform,0,josie,C,inform,Josie loves France,block2,0.91,2.8126,high_prior,male,NA,English,Yes,29,32
prior,38,2952,be_annoyed,0,isabella,C,be_annoyed,Isabella is a vegetarian,block2,0.1,2.8126,low_prior,male,NA,English,Yes,29,33
prior,39,2349,prove,0,mia,C,prove,Mia is a nun,block2,0,2.8126,low_prior,male,NA,English,Yes,29,34
prior,40,2552,announce,0,emma,C,announce,Emma is in law school,block2,0.86,2.8126,high_prior,male,NA,English,Yes,29,35
prior,41,2790,hear,0,grace,C,hear,Grace hates her sister,block2,0.1,2.8126,low_prior,male,NA,English,Yes,29,36
prior,42,2517,acknowledge,0,owen,C,acknowledge,Owen lives in Chicago,block2,0.93,2.8126,high_prior,male,NA,English,Yes,29,37
prior,43,2948,MC,0,muffins,MC,MC,Muffins are sold at the bakery,block2,0.63,2.8126,NA,male,NA,English,Yes,29,38
prior,44,2760,know,0,jon,C,know,Jon lives 10 miles away from work,block2,0.11,2.8126,low_prior,male,NA,English,Yes,29,39
prior,45,2901,MC,0,ballet,MC,MC,Ballet is a type of dance,block2,0.5,2.8126,NA,male,NA,English,Yes,29,40
prior,46,2500,think,0,charley,C,think,Charley lives in Mexico,block2,0.98,2.8126,high_prior,male,NA,English,Yes,29,41
prior,47,2141,confirm,0,frank,C,confirm,Frank is allergic to cats,block2,0,2.8126,low_prior,male,NA,English,Yes,29,42
prior,48,4143,MC,0,garage,MC,MC,Garages are used to store cars and other things,block2,0.16,2.8126,NA,male,NA,English,Yes,29,43
prior,49,4280,be_right,0,emily,C,be_right,Emily never has any money,block2,0.04,2.8126,low_prior,male,NA,English,Yes,29,44
prior,50,2691,establish,0,olivia,C,establish,Olivia has two small children,block2,0.06,2.8126,low_prior,male,NA,English,Yes,29,45
prior,51,3659,MC,0,kids,MC,MC,Many children like ice cream,block2,0.51,2.8126,NA,male,NA,English,Yes,29,46
prior,52,2661,MC,0,pizza,MC,MC,Pizza is sold at the pizzeria,block2,0.51,2.8126,NA,male,NA,English,Yes,29,47
prior,53,2111,demonstrate,0,tony,C,demonstrate,Tony has been sober for 20 years,block2,0,2.8126,low_prior,male,NA,English,Yes,29,48
prior,54,2279,discover,0,jackson,C,discover,Jackson is training for a marathon,block2,0.75,2.8126,high_prior,male,NA,English,Yes,29,49
prior,55,2594,pretend,0,sophia,C,pretend,Sophia is a hipster,block2,0.79,2.8126,high_prior,male,NA,English,Yes,29,50
prior,56,2868,suggest,0,jayden,C,suggest,Jayden's car is in the shop,block2,0.16,2.8126,high_prior,male,NA,English,Yes,29,51
prior,57,2401,reveal,0,zoe,C,reveal,Zoe is 5 years old,block2,0,2.8126,low_prior,male,NA,English,Yes,29,52
prior,5,15911,prove,1,jon,C,prove,Jon lives 10 miles away from work,block1,0.15,11.615533333333333,low_prior,male,NA,English,Yes,64,1
prior,6,9896,suggest,1,josie,C,suggest,Josie loves France,block1,0.96,11.615533333333333,high_prior,male,NA,English,Yes,64,2
prior,7,9265,know,1,mary,C,know,Mary is a middle school student,block1,0.01,11.615533333333333,low_prior,male,NA,English,Yes,64,3
prior,8,16180,confirm,1,julian,C,confirm,Julian is German,block1,0.49,11.615533333333333,low_prior,male,NA,English,Yes,64,4
prior,9,12779,see,1,josh,C,see,Josh is a 5-year old boy,block1,0.85,11.615533333333333,high_prior,male,NA,English,Yes,64,5
prior,10,14466,admit,1,tony,C,admit,Tony has been sober for 20 years,block1,0.5,11.615533333333333,low_prior,male,NA,English,Yes,64,6
prior,11,9655,MC,1,muffins,MC,MC,Muffins are sold at the bakery,block1,0.77,11.615533333333333,NA,male,NA,English,Yes,64,7
prior,12,16923,discover,1,olivia,C,discover,Olivia has two small children,block1,0.22,11.615533333333333,low_prior,male,NA,English,Yes,64,8
prior,13,11914,reveal,1,jayden,C,reveal,Jayden's car is in the shop,block1,0.56,11.615533333333333,high_prior,male,NA,English,Yes,64,9
prior,14,6624,think,1,grace,C,think,Grace loves her sister,block1,0.86,11.615533333333333,high_prior,male,NA,English,Yes,64,10
prior,15,13498,MC,1,garage,MC,MC,Garages are used to store cars and other things,block1,0.62,11.615533333333333,NA,male,NA,English,Yes,64,11
prior,16,12049,be_right,1,emma,C,be_right,Emma is in first grade,block1,0.46,11.615533333333333,low_prior,male,NA,English,Yes,64,12
prior,17,7466,say,1,charley,C,say,Charley lives in Korea,block1,0.22,11.615533333333333,low_prior,male,NA,English,Yes,64,13
prior,18,7896,be_annoyed,1,zoe,C,be_annoyed,Zoe is 5 years old,block1,0.12,11.615533333333333,low_prior,male,NA,English,Yes,64,14
prior,19,7729,demonstrate,1,mia,C,demonstrate,Mia is a college student,block1,0.67,11.615533333333333,high_prior,male,NA,English,Yes,64,15
prior,20,7825,establish,1,frank,C,establish,Frank has always wanted a pet,block1,0.76,11.615533333333333,high_prior,male,NA,English,Yes,64,16
prior,21,14898,inform,1,owen,C,inform,Owen lives in New Orleans,block1,0.09,11.615533333333333,low_prior,male,NA,English,Yes,64,17
prior,22,9586,MC,1,ballet,MC,MC,Ballet is a type of dance,block1,0.54,11.615533333333333,NA,male,NA,English,Yes,64,18
prior,23,7136,announce,1,sophia,C,announce,Sophia is a hipster,block1,0.74,11.615533333333333,high_prior,male,NA,English,Yes,64,19
prior,24,10090,pretend,1,jackson,C,pretend,Jackson is training for a marathon,block1,0.94,11.615533333333333,high_prior,male,NA,English,Yes,64,20
prior,25,10498,acknowledge,1,danny,C,acknowledge,Danny is a diabetic,block1,0.12,11.615533333333333,low_prior,male,NA,English,Yes,64,21
prior,26,13177,MC,1,kids,MC,MC,Many children like ice cream,block1,0.5,11.615533333333333,NA,male,NA,English,Yes,64,22
prior,27,9113,MC,1,pizza,MC,MC,Pizza is sold at the pizzeria,block1,0.84,11.615533333333333,NA,male,NA,English,Yes,64,23
prior,28,6466,MC,1,hat,MC,MC,Hats are worn on the head,block1,0.5,11.615533333333333,NA,male,NA,English,Yes,64,24
prior,29,9441,hear,1,isabella,C,hear,Isabella is from Argentina,block1,0.48,11.615533333333333,high_prior,male,NA,English,Yes,64,25
prior,30,8119,confess,1,emily,C,confess,Emily has been saving for a year,block1,0.82,11.615533333333333,high_prior,male,NA,English,Yes,64,26
projective,32,20106,discover,1,olivia,C,discover,Olivia has two small children,block2,0.05,11.615533333333333,low_prior,male,NA,English,Yes,64,27
projective,33,37118,prove,1,jon,C,prove,Jon lives 10 miles away from work,block2,0.05,11.615533333333333,low_prior,male,NA,English,Yes,64,28
projective,34,11763,MC,1,garage,MC,MC,Garages are used to store cars and other things,block2,0.04,11.615533333333333,NA,male,NA,English,Yes,64,29
projective,35,16207,say,1,charley,C,say,Charley lives in Korea,block2,0.21,11.615533333333333,low_prior,male,NA,English,Yes,64,30
projective,36,16544,inform,1,owen,C,inform,Owen lives in New Orleans,block2,0.88,11.615533333333333,low_prior,male,NA,English,Yes,64,31
projective,37,11570,confess,1,emily,C,confess,Emily has been saving for a year,block2,0.96,11.615533333333333,high_prior,male,NA,English,Yes,64,32
projective,38,22693,know,1,mary,C,know,Mary is a middle school student,block2,0.03,11.615533333333333,low_prior,male,NA,English,Yes,64,33
projective,39,7739,acknowledge,1,danny,C,acknowledge,Danny is a diabetic,block2,0.96,11.615533333333333,low_prior,male,NA,English,Yes,64,34
projective,40,17241,establish,1,frank,C,establish,Frank has always wanted a pet,block2,0.03,11.615533333333333,high_prior,male,NA,English,Yes,64,35
projective,41,14674,pretend,1,jackson,C,pretend,Jackson is training for a marathon,block2,0.03,11.615533333333333,high_prior,male,NA,English,Yes,64,36
projective,42,12386,think,1,grace,C,think,Grace loves her sister,block2,0.07,11.615533333333333,high_prior,male,NA,English,Yes,64,37
projective,43,6689,MC,1,hat,MC,MC,Hats are worn on the head,block2,0.04,11.615533333333333,NA,male,NA,English,Yes,64,38
projective,44,5504,MC,1,pizza,MC,MC,Pizza is sold at the pizzeria,block2,0.04,11.615533333333333,NA,male,NA,English,Yes,64,39
projective,45,10546,demonstrate,1,mia,C,demonstrate,Mia is a college student,block2,0.04,11.615533333333333,high_prior,male,NA,English,Yes,64,40
projective,46,8288,MC,1,kids,MC,MC,Many children like ice cream,block2,0.03,11.615533333333333,NA,male,NA,English,Yes,64,41
projective,47,7618,MC,1,ballet,MC,MC,Ballet is a type of dance,block2,0.03,11.615533333333333,NA,male,NA,English,Yes,64,42
projective,48,7327,MC,1,muffins,MC,MC,Muffins are sold at the bakery,block2,0.01,11.615533333333333,NA,male,NA,English,Yes,64,43
projective,49,10355,admit,1,tony,C,admit,Tony has been sober for 20 years,block2,0.77,11.615533333333333,low_prior,male,NA,English,Yes,64,44
projective,50,8554,suggest,1,josie,C,suggest,Josie loves France,block2,0.08,11.615533333333333,high_prior,male,NA,English,Yes,64,45
projective,51,9104,be_right,1,emma,C,be_right,Emma is in first grade,block2,0.59,11.615533333333333,low_prior,male,NA,English,Yes,64,46
projective,52,8762,hear,1,isabella,C,hear,Isabella is from Argentina,block2,0.58,11.615533333333333,high_prior,male,NA,English,Yes,64,47
projective,53,8531,reveal,1,jayden,C,reveal,Jayden's car is in the shop,block2,0.3,11.615533333333333,high_prior,male,NA,English,Yes,64,48
projective,54,7830,announce,1,sophia,C,announce,Sophia is a hipster,block2,0.88,11.615533333333333,high_prior,male,NA,English,Yes,64,49
projective,55,6977,see,1,josh,C,see,Josh is a 5-year old boy,block2,0.97,11.615533333333333,high_prior,male,NA,English,Yes,64,50
projective,56,9121,confirm,1,julian,C,confirm,Julian is German,block2,0.88,11.615533333333333,low_prior,male,NA,English,Yes,64,51
projective,57,11155,be_annoyed,1,zoe,C,be_annoyed,Zoe is 5 years old,block2,0.97,11.615533333333333,low_prior,male,NA,English,Yes,64,52
prior,5,5012,announce,2,sophia,C,announce,Sophia is a hipster,block1,0.63,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,1
prior,6,8270,confess,2,frank,C,confess,Frank has always wanted a pet,block1,0.7,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,2
prior,7,5025,MC,2,muffins,MC,MC,Muffins are sold at the bakery,block1,0.7,7.493516666666666,NA,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,3
prior,8,5759,MC,2,ballet,MC,MC,Ballet is a type of dance,block1,0.5,7.493516666666666,NA,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,4
prior,9,4676,confirm,2,olivia,C,confirm,Olivia has two small children,block1,0.31,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,5
prior,10,8104,reveal,2,isabella,C,reveal,Isabella is a vegetarian,block1,0,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,6
prior,11,6415,hear,2,mary,C,hear,Mary is taking a prenatal yoga class,block1,1,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,7
prior,12,7920,discover,2,owen,C,discover,Owen lives in Chicago,block1,0.76,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,8
prior,13,8027,establish,2,emma,C,establish,Emma is in first grade,block1,0.6,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,9
prior,14,5524,pretend,2,charley,C,pretend,Charley lives in Korea,block1,0.22,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,10
prior,15,6585,be_annoyed,2,tony,C,be_annoyed,Tony really likes to party with his friends,block1,0.79,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,11
prior,16,4851,say,2,jon,C,say,Jon lives 10 miles away from work,block1,0.16,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,12
prior,17,5795,know,2,jayden,C,know,Jayden doesn't have a driver's license,block1,0,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,13
prior,18,4911,demonstrate,2,grace,C,demonstrate,Grace loves her sister,block1,0.82,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,14
prior,19,4429,MC,2,hat,MC,MC,Hats are worn on the head,block1,0.5,7.493516666666666,NA,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,15
prior,20,5598,MC,2,kids,MC,MC,Many children like ice cream,block1,0.46,7.493516666666666,NA,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,16
prior,21,10563,MC,2,garage,MC,MC,Garages are used to store cars and other things,block1,0.51,7.493516666666666,NA,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,17
prior,22,6579,acknowledge,2,mia,C,acknowledge,Mia is a college student,block1,0.5,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,18
prior,23,4626,inform,2,josie,C,inform,Josie doesn't have a passport,block1,0,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,19
prior,24,5637,be_right,2,danny,C,be_right,Danny loves cake,block1,0.56,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,20
prior,25,5445,MC,2,pizza,MC,MC,Pizza is sold at the pizzeria,block1,0.61,7.493516666666666,NA,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,21
prior,26,5796,see,2,zoe,C,see,Zoe is a math major,block1,0.64,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,22
prior,27,4852,admit,2,julian,C,admit,Julian is Cuban,block1,0.5,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,23
prior,28,25216,prove,2,emily,C,prove,Emily never has any money,block1,0.15,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,24
prior,29,6460,suggest,2,josh,C,suggest,Josh is a 75-year old man,block1,0.24,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,25
prior,30,5514,think,2,jackson,C,think,Jackson is obese,block1,0.17,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,26
projective,32,13932,inform,2,josie,C,inform,Josie doesn't have a passport,block2,0.2,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,27
projective,33,5902,announce,2,sophia,C,announce,Sophia is a hipster,block2,0.2,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,28
projective,34,5230,think,2,jackson,C,think,Jackson is obese,block2,0.22,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,29
projective,35,5326,see,2,zoe,C,see,Zoe is a math major,block2,0.22,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,30
projective,36,7166,say,2,jon,C,say,Jon lives 10 miles away from work,block2,0.28,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,31
projective,37,7464,be_annoyed,2,tony,C,be_annoyed,Tony really likes to party with his friends,block2,0.49,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,32
projective,38,6926,MC,2,garage,MC,MC,Garages are used to store cars and other things,block2,0.25,7.493516666666666,NA,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,33
projective,39,5578,MC,2,pizza,MC,MC,Pizza is sold at the pizzeria,block2,0.18,7.493516666666666,NA,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,34
projective,40,4010,MC,2,ballet,MC,MC,Ballet is a type of dance,block2,0.2,7.493516666666666,NA,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,35
projective,41,6214,be_right,2,danny,C,be_right,Danny loves cake,block2,0.23,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,36
projective,42,5502,prove,2,emily,C,prove,Emily never has any money,block2,0.25,7.493516666666666,low_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,37
projective,43,6001,acknowledge,2,mia,C,acknowledge,Mia is a college student,block2,0.23,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,38
projective,44,6133,demonstrate,2,grace,C,demonstrate,Grace loves her sister,block2,0.23,7.493516666666666,high_prior,female,"I didn't notice any check figures, if they were present, they weren't obvious to me.",English,Yes,35,39
